cariver,castate,codenver4all,fl7all,instate,mdstate,mistate,ncstate,njstate,ohstate,orstate,pastate,set1,set2,set3,set4,set5,txstate
CARIVERSIDE,CAGLENN,COELPASO,FLBREVARD,INLAKE,MDBALTIMORE,MIOAKLAND,NCBUNCOMBE,NJBURLINGTON,OHCUYAHOGA,ORWASHINGTON,PAGREENE,MOJACKSON,NYNIAGARA,SCGREENVILLE,DESUSSEX,OKCLEVELAND,TXFORTBEND
,CAPLUMAS,CODENVER,FLMANATEE,INSTEUBEN,MDANNEARUNDEL,MIINGHAM,NCFORSYTH,NJPASSAIC,OHHAMILTON,ORLANE,PABUTLER,NVWASHOE,ILKANE,ALBALDWIN,KSJOHNSON,WAYAKIMA,TXFISHER
,CAAMADOR,COADAMS,FLDUVAL,INGRANT,MDMONTGOMERY,MIOTTAWA,NCJOHNSTON,NJMONMOUTH,OHMONTGOMERY,ORJACKSON,PAPERRY,MNDAKOTA,NYRICHMOND(STATENISLAND),TNRUTHERFORD,KSJOHNSON,OKCOMANCHE,TXHOPKINS
,CABUTTE,COJEFFERSON,FLBAY,INADAMS,MDCHARLES,MISAINTCLAIR,NCGASTON,NJATLANTIC,OHBUTLER,ORJOSEPHINE,PADELAWARE,IDCANYON,NYSCHOHARIE,SCANDERSON,MEPENOBSCOT,OKMCCURTAIN,TXZAVALA
,CAALPINE,COPUEBLO,FLSAINTLUCIE,INCASS,MDFREDERICK,MIVANBUREN,NCNEWHANOVER,NJMERCER,OHSUMMIT,ORKLAMATH,PAMONTGOMERY,MNWASHINGTON,ILKANKAKEE,TNMONTGOMERY,KYWARREN,WICHIPPEWA,TXPRESIDIO
,CAIMPERIAL,COMESA,FLHIGHLANDS,INRIPLEY,MDHARFORD,MIMIDLAND,NCCABARRUS,NJWARREN,OHWARREN,ORBENTON,PACHESTER,IDBONNEVILLE,ILKENDALL,TNSUMNER,KYKENTON,WISAUK,TXCHEROKEE
,CALASSEN,COGARFIELD,FLESCAMBIA,INSHELBY,MDWASHINGTON,MIKALAMAZOO,NCMOORE,NJCUMBERLAND,OHLORAIN,ORTILLAMOOK,PABERKS,MOBUCHANAN,NYCAYUGA,ALCHILTON,KYFRANKLIN,OKPITTSBURG,TXCOLLIN
,,COEAGLE,FLCLAY,INALLEN,MDCALVERT,MICASS,NCMOORE,NJHUNTERDON,OHLUCAS,ORCOOS,PAWESTMORELAND,NVNYE,NYOSWEGO,SCKERSHAW,KYBULLITT,OKCARTER,TXPARMER
,,COMONTROSE,FLLAKE,INBARTHOLOMEW,MDCECIL,MIALLEGAN,NCHENDERSON,NJSALEM,OHSTARK,ORLINCOLN,PALACKAWANNA,IDBONNER,NYTOMPKINS,ARCRAWFORD,MEFRANKLIN,OKWAGONER,TXMARTIN
,,COCHAFFEE,FLHERNANDO,INCLARK,MDQUEENANNES,MIMONROE,NCCRAVEN,,OHCLERMONT,ORGRANT,PABLAIR,IDBLAINE,ILGRUNDY,SCLANCASTER,KYBARREN,WYALBANY,TXLIVEOAK
,,COGUNNISON,FLINDIANRIVER,INELKHART,MDDORCHESTER,MIEATON,NCHAYWOOD,,OHMAHONING,ORWHEELER,PASCHUYLKILL,MOTANEY,ILWOODFORD,SCSUMTER,KYBOYD,WAMASON,TXELPASO
,,COELBERT,FLHOLMES,INFLOYD,MDGARRETT,MIGENESEE,NCDARE,,OHLAKE,ORMALHEUR,PABEAVER,MOSTONE,NYDUTCHESS,SCSUMTER,KYMEADE,WIJEFFERSON,TXCASS
,,COGUNNISON,FLLEVY,INHENDRICKS,MDBALTIMORE,MIMECOSTA,NCROCKINGHAM,,OHFAIRFIELD,ORUNION,PACRAWFORD,MOMORGAN,ILMADISON,SCGEORGETOWN,KYBRECKINRIDGE,OKOKMULGEE,TXHIDALGO
,,COLAPLATA,FLHENDRY,INJOHNSON,MDMONTGOMERY,MISANILAC,NCWILSON,,OHMEDINA,,PASOMERSET,MNGOODHUE,ILSAINTCLAIR,TNLOUDON,NMSOCORRO,OKKAY,TXLIMESTONE
,,COPITKIN,FLSUWANNEE,INMONROE,,MICLINTON,NCBURKE,,OHERIE,,PABRADFORD,NVMINERAL,ILSALINE,SCCHEROKEE,NMCURRY,WIDODGE,TXCAMERON
,,CODELTA,FLWAKULLA,INPORTER,,MIOCEANA,NCCOLUMBUS,,OHOTTAWA,,PAJEFFERSON,MOCALDWELL,ILWINNEBAGO,NEDAWSON,KYMERCER,WIWAUPACA,TXNUECES
,,COLOGAN,FLGILCHRIST,INVANDERBURGH,,MIIOSCO,NCHOKE,,OHHANCOCK,,PAVENANGO,MNBENTON,NYCOLUMBIA,ARBOONE,KYGARRARD,OKSEMINOLE,TXTOMGREEN
,,COCLEARCREEK,FLHAMILTON,INVIGO,,,NCPERSON,,OHUNION,,PABEDFORD,IDBOISE,NYONEIDA,SCORANGEBURG,KYFLEMING,OKWOODWARD,TXCOMAL
,,COOURAY,FLDIXIE,,,,NCTRANSYLVANIA,,OHCLINTON,,PASULLIVAN,IDJEROME,NYORANGE,SCCLARENDON,KYGREEN,WAKITTITAS,TXCOMAL
,,COLINCOLN,FLWASHINGTON,,,,NCDAVIE,,OHPICKAWAY,,PAGREENE,MOPIKE,NYORLEANS,NEHALL,KYSPENCER,UTBOXELDER,TXLUBBOCK
,,CORIOBLANCO,FLBRADFORD,,,,NCSTOKES,,OHAUGLAIZE,,PAWARREN,IDNEZPERCE,NYWASHINGTON,SCUNION,NMROOSEVELT,OKATOKA,TXJOHNSON
,,COCONEJOS,FLUNION,,,,NCMONTGOMERY,,OHBROWN,,,ILDEKALB,NYYATES,ARVANBUREN,KYBOYLE,OKPAWNEE,TXNUECES
,,COBENT,FLFRANKLIN,,,,NCAVERY,,OHSHELBY,,,IDJEFFERSON,,ARSAINTFRANCIS,KYJACKSON,OKCRAIG,TXWEBB
,,CODOLORES,FLJEFFERSON,,,,NCPASQUOTANK,,OHMADISON,,,IDGOODING,,MTBEAVERHEAD,KYTRIGG,WIVERNON,TXBASTROP
,,COCOSTILLA,FLMARION,,,,NCPAMLICO,,OHCOSHOCTON,,,MOCOOPER,,TNHENDERSON,KYBALLARD,OKROGERMILLS,TXHARDIN
,,COGILPIN,FLLAFAYETTE,,,,NCALEXANDER,,OHMERCER,,,IDGEM,,ARASHLEY,KYEDMONSON,WYCONVERSE,TXLEON
,,COLASANIMAS,FLCOLUMBIA,,,,NCCASWELL,,OHADAMS,,,IDBUTTE,,MTFERGUS,KYOWEN,OKWASHITA,TXBANDERA
,,COPROWERS,FLGLADES,,,,NCSCOTLAND,,OHWILLIAMS,,,IDADAMS,,SCBARNWELL,KYHENRY,WAJEFFERSON,TXLEE
,,CORIOGRANDE,FLMADISON,,,,NCYANCEY,,OHPUTNAM,,,IDCARIBOU,,ARPHILLIPS,KYHANCOCK,OKELLIS,TXTYLER
,,COARAPAHOE,FLBAKER,,,,NCBLADEN,,OHVANWERT,,,MOLEWIS,,NESALINE,KYMAGOFFIN,WASANJUAN,TXWOOD
,,CODENVER,FLPALMBEACH,,,,NCCLAY,,OHHOCKING,,,MOAUDRAIN,,NEDAKOTA,KYCARLISLE,OKLATIMER,TXVANZANDT
,,,,,,,NCPERQUIMANS,,OHMONROE,,,NVSTOREY,,TNJOHNSON,KSBUTLER,WVTUCKER,TXNACOGDOCHES
,,,,,,,NCSWAIN,,,,,MOSAINTCLAIR,,SCCALHOUN,KYADAIR,WAADAMS,TXWALKER
,,,,,,,NCCHOWAN,,,,,MOJOHNSON,,ARHOWARD,KYLEWIS,OKJEFFERSON,TXMORRIS
,,,,,,,NCCAMDEN,,,,,NVEUREKA,,MTMCCONE,NMCIBOLA,WVHARDY,TXGRIMES
,,,,,,,NCMARTIN,,,,,MOADAIR,,ARRANDOLPH,NMHARDING,OKBEAVER,TXTITUS
,,,,,,,,,,,,MOCEDAR,,ALBIBB,,WYGOSHEN,TXMONTAGUE
,,,,,,,,,,,,MODALLAS,,NEYORK,,OKGREER,TXBLANCO
,,,,,,,,,,,,MODOUGLAS,,MTDAWSON,,OKCIMARRON,TXWILLACY
,,,,,,,,,,,,MOJEFFERSON,,NEGAGE,,WASKAMANIA,TXSHELBY
,,,,,,,,,,,,MONEWMADRID,,TNMCNAIRY,,OKMAYES,TXREDRIVER
,,,,,,,,,,,,NVHUMBOLDT,,NEPIERCE,,UTBEAVER,TXJACKSON
,,,,,,,,,,,,NVWHITEPINE,,NEBURT,,WIBURNETT,TXEASTLAND
,,,,,,,,,,,,,,NEMERRICK,,WIWINNEBAGO,TXHUDSPETH
,,,,,,,,,,,,,,MTTOOLE,,WVBARBOUR,TXYOAKUM
,,,,,,,,,,,,,,TNLEWIS,,WVBOONE,TXMASON
,,,,,,,,,,,,,,NEBROWN,,WVNICHOLAS,TXARCHER
,,,,,,,,,,,,,,NECLAY,,WVWAYNE,TXBURLESON
,,,,,,,,,,,,,,SCALLENDALE,,WYWASHAKIE,TXLASALLE
,,,,,,,,,,,,,,NEKEITH,,,TXDEWITT
,,,,,,,,,,,,,,NEPAWNEE,,,TXIRION
,,,,,,,,,,,,,,NESTANTON,,,TXSANSABA
,,,,,,,,,,,,,,MTLIBERTY,,,TXGLASSCOCK
,,,,,,,,,,,,,,NESEWARD,,,TXFRIO
,,,,,,,,,,,,,,ALCOLBERT,,,TXANGELINA
,,,,,,,,,,,,,,ALDALE,,,TXARANSAS
,,,,,,,,,,,,,,ALFAYETTE,,,TXCROCKETT
,,,,,,,,,,,,,,ALLIMESTONE,,,TXCROSBY
,,,,,,,,,,,,,,ALMONROE,,,TXDONLEY
,,,,,,,,,,,,,,ALTALLADEGA,,,TXFREESTONE
,,,,,,,,,,,,,,ARGRANT,,,TXGAINES
,,,,,,,,,,,,,,MTGRANITE,,,TXGILLESPIE
,,,,,,,,,,,,,,MTSWEETGRASS,,,TXHALE
,,,,,,,,,,,,,,NEBANNER,,,TXHALL
,,,,,,,,,,,,,,SCDARLINGTON,,,TXJIMHOGG
,,,,,,,,,,,,,,STATENISLAND,,,TXKING
,,,,,,,,,,,,,,,,,TXNEWTON
,,,,,,,,,,,,,,,,,TXPALOPINTO
,,,,,,,,,,,,,,,,,TXROBERTS
,,,,,,,,,,,,,,,,,TXRUNNELS
,,,,,,,,,,,,,,,,,TXSCURRY
,,,,,,,,,,,,,,,,,TXSTARR
,,,,,,,,,,,,,,,,,TXSTEPHENS
,,,,,,,,,,,,,,,,,TXSTERLING
,,,,,,,,,,,,,,,,,TXWARD
,,,,,,,,,,,,,,,,,TXWASHINGTON
,,,,,,,,,,,,,,,,,TXWHARTON
,,,,,,,,,,,,,,,,,TXYOUNG
